Date,Open,High,Low,Close,Adj Close,Volume,SMA,EMA,Volatility,RSI,MACD,Signal Line,Daily_Return,Normalized_Close,Log_Return,10_Day_MA_Return,Previous_Day_Return
2021-11-18,368.85,370.667,358.34,365.46,365.46,62696700,363.886,357.317,26.715,62.487,15.421,21.164,0.007,2.0,0.007,-0.01,0.033
2021-11-19,366.29,379.573,364.233,379.02,379.02,64926900,367.675,360.21,25.367,63.61,15.906,20.113,0.037,2.231,0.036,-0.006,0.007
2021-11-22,387.443,400.65,377.477,385.623,385.623,99217500,369.876,363.599,25.1,58.92,16.631,19.416,0.017,2.344,0.017,0.001,0.037
2021-11-23,389.17,393.5,354.233,369.677,369.677,108515100,371.386,364.409,23.114,55.797,15.737,18.68,-0.041,2.072,-0.042,0.008,0.017
2021-11-24,360.13,377.59,354.0,372.0,372.0,67680600,372.688,365.421,19.814,55.081,15.043,17.953,0.006,2.112,0.006,0.005,-0.041
2021-11-26,366.49,369.593,360.333,360.64,360.64,35042700,372.769,364.784,15.707,50.319,13.421,17.047,-0.031,1.918,-0.031,0.002,0.006
2021-11-29,366.997,380.89,366.73,378.997,378.997,58393500,373.152,366.679,14.764,51.47,13.462,16.33,0.051,2.231,0.05,0.01,-0.031
2021-11-30,381.457,389.333,372.667,381.587,381.587,81276000,372.089,368.667,14.447,45.409,13.548,15.773,0.007,2.275,0.007,0.013,0.051
2021-12-01,386.9,390.947,363.587,365.0,365.0,68450400,370.805,368.178,14.247,44.564,12.137,15.046,-0.043,1.992,-0.044,0.004,0.007
2021-12-02,366.353,371.0,352.217,361.533,361.533,73114800,368.651,367.292,13.972,40.451,10.617,14.16,-0.009,1.933,-0.01,0.0,-0.043
2021-12-03,361.597,363.527,333.403,338.323,338.323,92322000,365.069,363.429,14.757,35.287,7.453,12.819,-0.064,1.538,-0.066,-0.007,-0.009
2021-12-06,333.837,340.547,316.833,336.337,336.337,81663000,361.517,359.817,14.967,35.377,4.732,11.201,-0.006,1.504,-0.006,-0.011,-0.064
2021-12-07,348.067,352.557,342.27,350.583,350.583,56084700,359.664,358.586,15.038,42.193,3.682,9.697,0.042,1.747,0.041,-0.009,-0.006
2021-12-08,350.903,357.46,344.333,356.32,356.32,41906400,360.422,358.284,15.206,53.853,3.275,8.413,0.016,1.844,0.016,-0.003,0.042
2021-12-09,353.547,354.163,334.12,334.6,334.6,59438400,359.353,355.126,17.147,44.747,1.186,6.968,-0.061,1.474,-0.063,-0.01,0.016
2021-12-10,336.25,340.327,327.51,339.01,339.01,59664300,358.578,352.977,17.453,46.248,-0.112,5.552,0.013,1.549,0.013,-0.005,-0.061
2021-12-13,333.697,335.0,317.14,322.137,322.137,78595500,357.461,348.865,18.314,44.764,-2.474,3.946,-0.05,1.262,-0.051,-0.016,0.013
2021-12-14,315.0,322.137,310.0,319.503,319.503,70806300,356.546,344.95,20.003,45.629,-4.506,2.256,-0.008,1.217,-0.008,-0.017,-0.05
2021-12-15,317.737,326.25,309.417,325.33,325.33,75169200,355.234,342.334,20.156,43.481,-5.583,0.688,0.018,1.316,0.018,-0.011,-0.008
2021-12-16,331.5,331.66,307.283,308.973,308.973,82771500,352.533,337.886,22.255,36.902,-7.667,-0.983,-0.05,1.038,-0.052,-0.015,0.018
2021-12-17,304.923,320.22,303.013,310.857,310.857,100437300,349.802,334.282,21.487,36.726,-9.062,-2.599,0.006,1.07,0.006,-0.008,-0.05
2021-12-20,303.567,307.23,297.797,299.98,299.98,56480100,345.851,329.708,20.159,30.531,-10.92,-4.263,-0.035,0.884,-0.036,-0.011,0.006
2021-12-21,305.623,313.167,295.373,312.843,312.843,71517900,342.212,327.46,18.646,32.61,-11.225,-5.655,0.043,1.103,0.042,-0.011,-0.035
2021-12-22,321.887,338.553,319.017,336.29,336.29,93634200,340.542,328.637,16.422,42.298,-9.465,-6.417,0.075,1.503,0.072,-0.005,0.043
2021-12-23,335.6,357.66,332.52,355.667,355.667,92713200,339.726,332.241,17.858,46.507,-6.433,-6.42,0.058,1.833,0.056,0.007,0.075
2021-12-27,357.89,372.333,356.907,364.647,364.647,71145900,339.926,336.562,20.183,50.866,-3.268,-5.79,0.025,1.986,0.025,0.008,0.058
2021-12-28,369.83,373.0,359.473,362.823,362.823,60324000,339.117,340.063,21.32,46.237,-0.896,-4.811,-0.005,1.955,-0.005,0.013,0.025
2021-12-29,366.213,368.0,354.713,362.063,362.063,56154000,338.141,342.997,21.871,45.418,0.911,-3.667,-0.002,1.942,-0.002,0.013,-0.005
2021-12-30,353.777,365.183,351.05,356.78,356.78,47040900,337.73,344.834,22.819,47.963,1.896,-2.554,-0.015,1.852,-0.015,0.01,-0.002
2021-12-31,357.813,360.667,351.53,352.26,352.26,40733700,337.266,345.825,23.309,47.714,2.285,-1.586,-0.013,1.775,-0.013,0.014,-0.015
2022-01-03,382.583,400.357,378.68,399.927,399.927,103931400,340.346,353.038,28.662,63.553,6.366,0.004,0.135,2.587,0.127,0.027,-0.013
2022-01-04,396.517,402.667,374.35,383.197,383.197,100248300,342.689,357.059,30.081,59.681,8.157,1.635,-0.042,2.302,-0.043,0.026,0.135
2022-01-05,382.217,390.113,360.337,362.707,362.707,80119800,343.296,357.812,29.847,52.442,7.832,2.874,-0.053,1.953,-0.055,0.016,-0.042
2022-01-06,359.0,362.667,340.167,354.9,354.9,90336600,343.225,357.424,27.7,49.716,6.866,3.672,-0.022,1.82,-0.022,0.007,-0.053
2022-01-07,360.123,360.31,336.667,342.32,342.32,84164700,343.611,355.41,25.364,51.6,5.027,3.943,-0.035,1.606,-0.036,-0.003,-0.022
2022-01-10,333.333,353.033,326.667,352.707,352.707,91815000,344.295,355.05,20.231,52.771,4.357,4.026,0.03,1.783,0.03,-0.002,-0.035
2022-01-11,351.223,358.617,346.273,354.8,354.8,66063300,345.929,355.016,15.795,57.028,3.95,4.011,0.006,1.818,0.006,-0.001,0.03
2022-01-12,359.617,371.613,357.53,368.74,368.74,83739000,348.39,356.846,14.351,60.102,4.698,4.148,0.039,2.056,0.039,0.003,0.006
2022-01-13,369.69,371.867,342.18,343.853,343.853,97209900,349.317,355.114,15.104,53.525,3.245,3.968,-0.067,1.632,-0.07,-0.002,0.039
2022-01-14,339.96,350.667,337.793,349.87,349.87,72924300,351.361,354.415,15.385,58.101,2.55,3.684,0.017,1.734,0.017,0.001,-0.067
2022-01-18,342.203,356.93,338.687,343.503,343.503,66743400,352.994,352.96,16.014,56.354,1.468,3.241,-0.018,1.626,-0.018,-0.014,0.017
2022-01-19,347.237,351.557,331.667,331.883,331.883,75442500,354.589,350.15,17.545,56.192,-0.323,2.528,-0.034,1.428,-0.034,-0.014,-0.018
2022-01-20,336.577,347.22,331.333,332.09,332.09,70488600,355.551,347.742,18.763,53.928,-1.706,1.681,0.001,1.431,0.001,-0.008,-0.034
2022-01-21,332.113,334.85,313.5,314.633,314.633,103416000,354.468,343.327,21.684,45.469,-4.163,0.513,-0.053,1.134,-0.054,-0.011,0.001
2022-01-24,301.587,311.17,283.823,310.0,310.0,151565700,352.185,338.884,19.794,39.818,-6.41,-0.872,-0.015,1.055,-0.015,-0.009,-0.053
2022-01-25,304.733,317.087,301.07,306.133,306.133,86595900,349.259,334.517,19.391,36.649,-8.405,-2.379,-0.012,0.989,-0.013,-0.014,-0.015
2022-01-26,317.477,329.23,302.0,312.47,312.47,104867400,346.742,331.577,19.628,38.743,-9.368,-3.776,0.021,1.097,0.02,-0.012,-0.012
2022-01-27,311.12,311.797,276.333,276.367,276.367,147109500,342.457,324.216,24.687,33.456,-12.895,-5.6,-0.116,0.482,-0.123,-0.028,0.021
2022-01-28,277.187,285.833,264.003,282.117,282.117,134789100,338.724,318.603,27.696,35.612,-15.053,-7.491,0.021,0.58,0.021,-0.019,-0.116
2022-01-31,290.903,312.663,287.35,312.24,312.24,104436000,336.723,317.754,26.917,42.98,-14.169,-8.826,0.107,1.093,0.101,-0.01,0.021
2022-02-01,311.737,314.567,301.667,310.417,310.417,73138200,332.247,316.776,25.617,31.291,-13.461,-9.753,-0.006,1.062,-0.006,-0.009,0.107
2022-02-02,309.393,310.5,296.47,301.887,301.887,66792900,328.182,314.791,22.015,32.402,-13.433,-10.489,-0.027,0.917,-0.028,-0.008,-0.006
2022-02-03,294.0,312.333,293.507,297.047,297.047,78855600,324.899,312.425,21.033,34.756,-13.644,-11.12,-0.016,0.834,-0.016,-0.01,-0.027
2022-02-04,299.073,312.167,293.723,307.773,307.773,73625400,322.542,311.805,18.153,39.205,-12.798,-11.456,0.036,1.017,0.035,-0.001,-0.016
2022-02-07,307.93,315.923,300.903,302.447,302.447,60994500,320.549,310.557,15.417,40.553,-12.414,-11.647,-0.017,0.926,-0.017,-0.001,0.036
2022-02-08,301.843,308.763,298.267,307.333,307.333,50729100,318.28,310.127,13.661,38.962,-11.583,-11.634,0.016,1.01,0.016,0.002,-0.017
2022-02-09,311.667,315.423,306.667,310.667,310.667,52259400,316.073,310.199,11.437,39.328,-10.533,-11.414,0.011,1.066,0.011,0.001,0.016
